Variável;Tipo;Descrição;Fonte
Código IBGE;numérico;Código oficial de 7 dígitos definido pelo IBGE para município;Instituto Brasileiro de Geografia e Estatística – IBGE 
Município;texto;Nome do Município;Instituto Brasileiro de Geografia e Estatística – IBGE 
Região Administrativa;texto;Nome da Região Administrativa ;Fundação Sistema Estadual de Análise de Dados – Seade
Código RA;numérico;Código da Região Administrativa;Fundação Sistema Estadual de Análise de Dados – Seade
Código DRS;numérico;Código do Departamento Regional de Saúde;Secretaria de Estado da Saúde – SES
DRS;texto;Nome do Departamento Regional de Saúde;Secretaria de Estado da Saúde – SES
Ano;texto;Ano de referência - 2020;Fundação Sistema Estadual de Análise de Dados – Seade
Área (Em km2);numérico;Valor da área territorial;Instituto Brasileiro de Geografia e Estatística – IBGE /Instituto Geográfico e Cartográfico – IGC
Densidade Demográfica (Habitantes/km2);numérico;Valor da densidade demográfica;Fundação Sistema Estadual de Análise de Dados – Seade
População;numérico;Projeção da população total residente;Fundação Sistema Estadual de Análise de Dados – Seade
População Urbana;numérico;Projeção da população urbana;Fundação Sistema Estadual de Análise de Dados – Seade
Grau de Urbanização (Em %);numérico;Valor do grau de urbanização;Fundação Sistema Estadual de Análise de Dados – Seade
Domicílios Particulares Permanentes;numérico;Número de domicílios  particulares permanentes;Fundação Sistema Estadual de Análise de Dados – Seade
Hab./Domicílio;numérico;Valor de habitantes por domicílio;Fundação Sistema Estadual de Análise de Dados – Seade
;;;
