Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;População Total 2020;Classes de tamanho;Sequência das Classes
3500105;Adamantina;RA de Presidente Prudente;9;5;Marília; 33.894 ;De 10.001 a 50.000;2
3500204;Adolfo;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.447 ;Até 10.000;1
3500303;Aguaí;RA de Campinas;4;14;São João da Boa Vista; 35.608 ;De 10.001 a 50.000;2
3500402;Águas da Prata;RA de Campinas;4;14;São João da Boa Vista; 7.797 ;Até 10.000;1
3500501;Águas de Lindóia;RA de Campinas;4;3;Campinas; 18.374 ;De 10.001 a 50.000;2
3500550;Águas de Santa Bárbara;RA de Sorocaba;13;12;Bauru; 5.931 ;Até 10.000;1
3500600;Águas de São Pedro;RA de Campinas;4;11;Piracicaba; 3.122 ;Até 10.000;1
3500709;Agudos;RA de Bauru;3;12;Bauru; 36.134 ;De 10.001 a 50.000;2
3500758;Alambari;RA de Sorocaba;13;6;Sorocaba; 5.779 ;Até 10.000;1
3500808;Alfredo Marcondes;RA de Presidente Prudente;9;2;Presidente Prudente; 3.927 ;Até 10.000;1
3500907;Altair;RA de Barretos;2;16;Barretos; 4.036 ;Até 10.000;1
3501004;Altinópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto; 15.553 ;De 10.001 a 50.000;2
3501103;Alto Alegre;RA de Araçatuba;1;7;Araçatuba; 4.017 ;Até 10.000;1
3501152;Alumínio;RA de Sorocaba;13;6;Sorocaba; 17.972 ;De 10.001 a 50.000;2
3501202;Álvares Florence;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.621 ;Até 10.000;1
3501301;Álvares Machado;RA de Presidente Prudente;9;2;Presidente Prudente; 23.789 ;De 10.001 a 50.000;2
3501400;Álvaro de Carvalho;RA de Marília;8;5;Marília; 5.044 ;Até 10.000;1
3501509;Alvinlândia;RA de Marília;8;5;Marília; 3.176 ;Até 10.000;1
3501608;Americana;RA de Campinas;4;3;Campinas; 233.458 ;De 100.001 a 500.000;4
3501707;Américo Brasiliense;RA Central;5;8;Araraquara; 40.243 ;De 10.001 a 50.000;2
3501806;Américo de Campos;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.736 ;Até 10.000;1
3501905;Amparo;RA de Campinas;4;3;Campinas; 69.639 ;De 50.001 a 100.000;3
3502002;Analândia;RA de Campinas;4;11;Piracicaba; 4.850 ;Até 10.000;1
3502101;Andradina;RA de Araçatuba;1;7;Araçatuba; 56.054 ;De 50.001 a 100.000;3
3502200;Angatuba;RA de Itapeva;7;6;Sorocaba; 24.501 ;De 10.001 a 50.000;2
3502309;Anhembi;RA de Sorocaba;13;12;Bauru; 6.672 ;Até 10.000;1
3502408;Anhumas;RA de Presidente Prudente;9;2;Presidente Prudente; 3.963 ;Até 10.000;1
3502507;Aparecida;RA de São José dos Campos;15;17;Taubaté; 35.709 ;De 10.001 a 50.000;2
3502606;Aparecida d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto; 4.132 ;Até 10.000;1
3502705;Apiaí;RA de Itapeva;7;6;Sorocaba; 24.666 ;De 10.001 a 50.000;2
3502754;Araçariguama;RA de Sorocaba;13;6;Sorocaba; 20.980 ;De 10.001 a 50.000;2
3502804;Araçatuba;RA de Araçatuba;1;7;Araçatuba; 190.469 ;De 100.001 a 500.000;4
3502903;Araçoiaba da Serra;RA de Sorocaba;13;6;Sorocaba; 32.390 ;De 10.001 a 50.000;2
3503000;Aramina;RA de Franca;6;4;Franca; 5.496 ;Até 10.000;1
3503109;Arandu;RA de Itapeva;7;12;Bauru; 6.165 ;Até 10.000;1
3503158;Arapeí;RA de São José dos Campos;15;17;Taubaté; 2.471 ;Até 10.000;1
3503208;Araraquara;RA Central;5;8;Araraquara; 227.618 ;De 100.001 a 500.000;4
3503307;Araras;RA de Campinas;4;11;Piracicaba; 131.057 ;De 100.001 a 500.000;4
3503356;Arco-Íris;RA de Marília;8;5;Marília; 1.816 ;Até 10.000;1
3503406;Arealva;RA de Bauru;3;12;Bauru; 8.196 ;Até 10.000;1
3503505;Areias;RA de São José dos Campos;15;17;Taubaté; 3.843 ;Até 10.000;1
3503604;Areiópolis;RA de Sorocaba;13;12;Bauru; 10.857 ;De 10.001 a 50.000;2
3503703;Ariranha;RA de São José do Rio Preto;14;15;São José do Rio Preto; 9.320 ;Até 10.000;1
3503802;Artur Nogueira;RA de Campinas;4;3;Campinas; 52.609 ;De 50.001 a 100.000;3
3503901;Arujá;RM de São Paulo;10;10;Grande São Paulo; 89.744 ;De 50.001 a 100.000;3
3503950;Aspásia;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.765 ;Até 10.000;1
3504008;Assis;RA de Marília;8;5;Marília; 101.381 ;De 100.001 a 500.000;4
3504107;Atibaia;RA de Campinas;4;3;Campinas; 139.606 ;De 100.001 a 500.000;4
3504206;Auriflama;RA de Araçatuba;1;7;Araçatuba; 14.471 ;De 10.001 a 50.000;2
3504305;Avaí;RA de Bauru;3;12;Bauru; 5.288 ;Até 10.000;1
3504404;Avanhandava;RA de Araçatuba;1;7;Araçatuba; 12.114 ;De 10.001 a 50.000;2
3504503;Avaré;RA de Sorocaba;13;12;Bauru; 87.538 ;De 50.001 a 100.000;3
3504602;Bady Bassitt;RA de São José do Rio Preto;14;15;São José do Rio Preto; 16.329 ;De 10.001 a 50.000;2
3504701;Balbinos;RA de Bauru;3;12;Bauru; 3.704 ;Até 10.000;1
3504800;Bálsamo;RA de São José do Rio Preto;14;15;São José do Rio Preto; 8.524 ;Até 10.000;1
3504909;Bananal;RA de São José dos Campos;15;17;Taubaté; 10.651 ;De 10.001 a 50.000;2
3505005;Barão de Antonina;RA de Itapeva;7;12;Bauru; 3.383 ;Até 10.000;1
3505104;Barbosa;RA de Araçatuba;1;7;Araçatuba; 7.284 ;Até 10.000;1
3505203;Bariri;RA de Bauru;3;12;Bauru; 33.993 ;De 10.001 a 50.000;2
3505302;Barra Bonita;RA de Bauru;3;12;Bauru; 34.914 ;De 10.001 a 50.000;2
3505351;Barra do Chapéu;RA de Itapeva;7;6;Sorocaba; 5.530 ;Até 10.000;1
3505401;Barra do Turvo;RA de Registro;16;9;Registro; 7.687 ;Até 10.000;1
3505500;Barretos;RA de Barretos;2;16;Barretos; 118.048 ;De 100.001 a 500.000;4
