Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;   Ano   ;Sexo;Idade;População
3500105;Adamantina;RA de Presidente Prudente;9;5;Marília;2020;Homens;00 a 04;882
3500204;Adolfo;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;84
3500303;Aguaí;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;1.218
3500402;Águas da Prata;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;193
3500501;Águas de Lindóia;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;626
3500550;Águas de Santa Bárbara;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;195
3500600;Águas de São Pedro;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;88
3500709;Agudos;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;1.171
3500758;Alambari;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;190
3500808;Alfredo Marcondes;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;94
3500907;Altair;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;121
3501004;Altinópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;450
3501103;Alto Alegre;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;96
3501152;Alumínio;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;630
3501202;Álvares Florence;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;67
3501301;Álvares Machado;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;664
3501400;Álvaro de Carvalho;RA de Marília;8;5;Marília;2020;Homens;00 a 04;150
3501509;Alvinlândia;RA de Marília;8;5;Marília;2020;Homens;00 a 04;121
3501608;Americana;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;6.484
3501707;Américo Brasiliense;RA Central;5;8;Araraquara;2020;Homens;00 a 04;1.459
3501806;Américo de Campos;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;141
3501905;Amparo;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.906
3502002;Analândia;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;149
3502101;Andradina;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;1.605
3502200;Angatuba;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;826
3502309;Anhembi;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;226
3502408;Anhumas;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;00 a 04;115
3502507;Aparecida;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;1.117
3502606;Aparecida d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;102
3502705;Apiaí;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;883
3502754;Araçariguama;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;869
3502804;Araçatuba;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;5.180
3502903;Araçoiaba da Serra;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;1.152
3503000;Aramina;RA de Franca;6;4;Franca;2020;Homens;00 a 04;165
3503109;Arandu;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;199
3503158;Arapeí;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;76
3503208;Araraquara;RA Central;5;8;Araraquara;2020;Homens;00 a 04;6.296
3503307;Araras;RA de Campinas;4;11;Piracicaba;2020;Homens;00 a 04;3.751
3503356;Arco-Íris;RA de Marília;8;5;Marília;2020;Homens;00 a 04;48
3503406;Arealva;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;232
3503505;Areias;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;143
3503604;Areiópolis;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;385
3503703;Ariranha;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;279
3503802;Artur Nogueira;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.674
3503901;Arujá;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;3.587
3503950;Aspásia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;44
3504008;Assis;RA de Marília;8;5;Marília;2020;Homens;00 a 04;2.932
3504107;Atibaia;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;4.824
3504206;Auriflama;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;358
3504305;Avaí;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;166
3504404;Avanhandava;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;404
3504503;Avaré;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;2.704
3504602;Bady Bassitt;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;442
3504701;Balbinos;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;37
3504800;Bálsamo;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;00 a 04;220
3504909;Bananal;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;351
3505005;Barão de Antonina;RA de Itapeva;7;12;Bauru;2020;Homens;00 a 04;109
3505104;Barbosa;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;260
3505203;Bariri;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;1.003
3505302;Barra Bonita;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;894
3505351;Barra do Chapéu;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;212
3505401;Barra do Turvo;RA de Registro;16;9;Registro;2020;Homens;00 a 04;314
3505500;Barretos;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;3.352
3505609;Barrinha;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;1.216
3505708;Barueri;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;11.217
3505807;Bastos;RA de Marília;8;5;Marília;2020;Homens;00 a 04;629
3505906;Batatais;RA de Franca;6;1;Ribeirão Preto;2020;Homens;00 a 04;1.727
3506003;Bauru;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;10.450
3506102;Bebedouro;RA de Barretos;2;16;Barretos;2020;Homens;00 a 04;1.998
3506201;Bento de Abreu;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;93
3506300;Bernardino de Campos;RA de Marília;8;5;Marília;2020;Homens;00 a 04;342
3506359;Bertioga;RA de Santos;12;13;Baixada Santista;2020;Homens;00 a 04;2.711
3506409;Bilac;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;209
3506508;Birigui;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;3.299
3506607;Biritiba Mirim;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;00 a 04;1.180
3506706;Boa Esperança do Sul;RA Central;5;8;Araraquara;2020;Homens;00 a 04;487
3506805;Bocaina;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;390
3506904;Bofete;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;376
3507001;Boituva;RA de Sorocaba;13;6;Sorocaba;2020;Homens;00 a 04;1.940
3507100;Bom Jesus dos Perdões;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;831
3507159;Bom Sucesso de Itararé;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;175
3507209;Borá;RA de Marília;8;5;Marília;2020;Homens;00 a 04;21
3507308;Boracéia;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;166
3507407;Borborema;RA Central;5;8;Araraquara;2020;Homens;00 a 04;417
3507456;Borebi;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;92
3507506;Botucatu;RA de Sorocaba;13;12;Bauru;2020;Homens;00 a 04;4.370
3507605;Bragança Paulista;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;5.239
3507704;Braúna;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;158
3507753;Brejo Alegre;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;74
3507803;Brodowski;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;00 a 04;726
3507902;Brotas;RA de Campinas;4;12;Bauru;2020;Homens;00 a 04;791
3508009;Buri;RA de Itapeva;7;6;Sorocaba;2020;Homens;00 a 04;832
3508108;Buritama;RA de Araçatuba;1;7;Araçatuba;2020;Homens;00 a 04;478
3508207;Buritizal;RA de Franca;6;4;Franca;2020;Homens;00 a 04;122
3508306;Cabrália Paulista;RA de Bauru;3;12;Bauru;2020;Homens;00 a 04;129
3508405;Cabreúva;RA de Campinas;4;3;Campinas;2020;Homens;00 a 04;1.835
3508504;Caçapava;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;2.963
3508603;Cachoeira Paulista;RA de São José dos Campos;15;17;Taubaté;2020;Homens;00 a 04;985
3508702;Caconde;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;00 a 04;593
