Ano;Trimestre;Data do Anúncio;Empresa alvo do investimento;Empresa(s) investidora(s);Real (em milhões);Dólar (em milhões);Valor Informado;Município;Região;Descrição do investimento;CNAE Empresa alvo do investimento;CNAE Empresa(s) investidora(s);Tipo Investimento;Período
"2020";"1";"03/01/2020";"Farmarcas";"Associação Multimarcas de Farmácias e Drogarias Farmarcas";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Expansão rede de farmácias e drogarias";"4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário";"9411-1 - Atividades de organizações associativas patronais e empresariais";"Implantação";"2020 - 2022"
"2020";"1";"10/01/2020";"Pizza Estupenda";"Pizza Estupenda Franchising";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Expansão rede de pizzarias por meio de franquias";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"7740-3 - Gestão de ativos intangíveis não-financeiros";"Ampliação";"2019 - ..."
"2020";"1";"24/01/2020";"Petland";"Animalize Comércio de Produtos de Petshop";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Expansão rede de lojas de pet shop";"4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente";"4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente";"Implantação";"2019 - 2020"
"2020";"1";"11/02/2020";"Mercado Livre";"Mercadolivre.com Atividades de Internet";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Expansão serviços de comércio eletrônico e serviços financeiros através do Mercado Pago";"4713-0 - Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios";"7490-1 - Atividades profissionais, científicas e técnicas não especificadas anteriormente";"Ampliação/Modernização";"2020 - 2020"
"2020";"1";"13/02/2020";"Viação Itapemirim";"Viação Itapemirim";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Criação empresa de companhia aérea com 35 aeronaves, a partir de aporte de fundo soberano dos Emirados Árabes Unidos";"5111-1 - Transporte aéreo de passageiros regular";"4922-1 - Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional";"Implantação";"2020 - ..."
"2020";"1";"18/02/2020";"Multiplan";"Multiplan Empreendimentos Imobiliários";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Ampliação e modernização rede de shopping centers administrados pela empresa";"6822-6 - Gestão e administração da propriedade imobiliária";"6810-2 - Atividades imobiliárias de imóveis próprios";"Ampliação";"2020 - 2020"
"2020";"1";"17/02/2020";"Atacadão";"Carrefour Comércio e Indústria";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Expansão rede de supermercados com abertura de pelo menos 20 lojas bandeira Atacadão";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Ampliação";"2020 - 2020"
"2020";"1";"21/02/2020";"Audi";"Audi do Brasil Indústria e Comércio de Veículos";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Instalação postos de recarga de energia nos próximos 2 anos";"4731-8 - Comércio varejista de combustíveis para veículos automotores";"4511-1 - Comércio a varejo e por atacado de veículos automotores";"Implantação";"2020 - 2022"
"2020";"1";"24/02/2020";"Localfrio";"Localfrio Armazéns Gerais Frigoríficos";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Ampliação serviços logísticos para oferecer soluções integradas para grandes e médias companhias";"5231-1 - Gestão de portos e terminais";"5231-1 - Gestão de portos e terminais";"Ampliação";"2020 - ..."
"2020";"1";"22/02/2020";"Energisa";"Energisa";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Ampliação operações de distribuição e transmissão de energia elétrica";"3514-0 - Distribuição de energia elétrica";"6462-0 - Holdings de instituições não-financeiras";"Ampliação";"2020 - 2020"
"2020";"1";"05/03/2020";"Tietê Agroindustrial";"Tietê Agroindustrial";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Ampliação capacidade de moagem de cana-de-açúcar";"0113-0 - Cultivo de cana-de-açúcar";"0113-0 - Cultivo de cana-de-açúcar";"Ampliação";"2020 - 2020"
"2020";"1";"08/03/2020";"AmBev";"AmBev";"...";"...";"Não";"Inter-regionais";"Inter-regionais";"Expansão fábricas de cervejaria";"1113-5 - Fabricação de malte, cervejas e chopes";"1113-5 - Fabricação de malte, cervejas e chopes";"Ampliação";"2020 - 2020"
"2020";"1";"10/03/2020";"Havan";"Havan Lojas de Departamentos";"30,00";"6,14";"Sim";"Inter-regionais";"Inter-regionais";"Inauguração lojas da rede de lojas de departamento";"4713-0 - Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Implantação";"2020 - 2020"
"2020";"1";"30/01/2020";"Eixo SP";"Concessionária de Rodovias Piracicaba?Panorama";"14.000,00";"3.374,14";"Sim";"Inter-regionais";"Inter-regionais";"Concessão manutenção e ampliação do conjunto de estradas para operar o Lote PiPa entre Piracicaba e Panorama., por 30 anos";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"Implantação";"2020 - 2050"
"2020";"1";"03/02/2020";"Solinftec";"Tec Soil Automação e Sistemas";"...";"...";"Não";"Araçatuba";"RA Araçatuba";"Expansão e modernização empresa de startup para aumentar base de usuários e território atendido";"0161-0 - Atividades de apoio à agricultura";"6202-3 - Desenvolvimento e licenciamento de programas de computador customizáveis";"Ampliação/Modernização";"2020 - ..."
"2020";"1";"09/02/2020";"Lokan";"Lokan Máquinas e Equipamentos";"...";"...";"Não";"Bauru";"RA Bauru";"Abertura unidade da empresa, a segunda na cidade de Bauru";"4662-1 - Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";"4662-1 - Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";"Ampliação";"2020 - 2020"
"2020";"1";"22/01/2020";"Bracell";"Bracell Celulose Solúvel Especial Participações";"1.000,00";"241,01";"Sim";"Lençóis Paulista";"RA Bauru";"Modernização fábrica de celulose nas instalações de gaseificação de biomassa e no sistema de distribuição de energia";"1710-9 - Fabricação de celulose e outras pastas para a fabricação de papel";"1710-9 - Fabricação de celulose e outras pastas para a fabricação de papel";"Ampliação";"2018 - 2021"
"2020";"1";"11/03/2020";"JBS Embalagens Metálicas";"JBS Embalagens Metálicas";"13,00";"2,66";"Sim";"Lins";"RA Bauru";"Modernização equipamento(s) e processos da fábrica para dobrar sua capacidade produtiva";"2591-8 - Fabricação de embalagens metálicas";"2591-8 - Fabricação de embalagens metálicas";"Ampliação/Modernização";"2020 - 2020"
"2020";"1";"05/02/2020";"Volvo";"Volvo do Brasil Veículos";"...";"...";"Não";"Pederneiras";"RA Bauru";"Desenvolvimento produto(s) e serviços voltados para máquinas e peças para caminhões articulados e pás-carregadeiras.";"2854-2 - Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores";"2920-4 - Fabricação de caminhões e ônibus";"Ampliação/Modernização";"2020 - 2023"
"2020";"1";"14/01/2020";"Brotas Eco Resort";"Peraltas Acampamento de Brotas";"...";"...";"Não";"Brotas";"RA Campinas";"Ampliação Resort com inauguração da piscina temática Lagoa Encantada";"5510-8 - Hotéis e similares";"5510-8 - Hotéis e similares";"Ampliação";"2019 - 2020"
"2020";"1";"21/01/2020";"Vila Poção";"Ecoparque Poção";"...";"...";"Não";"Brotas";"RA Campinas";"Inauguração chalés para locação do Ecoparque Poção chamado de Vila Poção";"5510-8 - Hotéis e similares";"9329-8 - Atividades de recreação e lazer não especificadas anteriormente";"Ampliação";"2019 - 2020"
"2020";"1";"01/01/2020";"FedEx";"Federal Express Corporation";"...";"...";"Não";"Campinas";"RA Campinas";"Ampliação e modernização armazém de encomendas no Aeroporto de Viracopos";"5320-2 - Atividades de malote e de entrega";"5120-0 - Transporte aéreo de carga";"Ampliação/Modernização";"2019 - 2019"
"2020";"1";"02/01/2020";"Hospital São Luiz";"Rede D'Or São Luiz";"...";"...";"Não";"Campinas";"RA Campinas";"Construção hospital e maternidade com 430 leitos, 120 UTIs e dez salas de cirurgia robótica";"8610-1 - Atividades de atendimento hospitalar";"8610-1 - Atividades de atendimento hospitalar";"Implantação";"2020 - ..."
"2020";"1";"17/03/2020";"Superlógica";"Warburg Pincus Ventures";"300,00";"61,43";"Sim";"Campinas";"RA Campinas";"Expansão operações de startup de administração de condomínios";"6822-6 - Gestão e administração da propriedade imobiliária";"6462-0 - Holdings de instituições não-financeiras";"Ampliação";"... - 2020"
"2020";"1";"06/02/2020";"Sabesp";"Cia. de Saneamento Básico do Estado de São Paulo";"9,00";"2,07";"Sim";"Itupeva";"RA Campinas";"Implantação coletor-tronco às margens do rio jundiaí e ribeirão Caxambu com quase 8km de extensão";"3701-1 - Gestão de redes de esgoto";"3600-6 - Captação, tratamento e distribuição de água";"Ampliação";"2020 - 2021"
"2020";"1";"07/01/2020";"Hospital de Caridade São Vicente de Paulo";"CPFL Energia";"0,74";"0,18";"Sim";"Jundiaí";"RA Campinas";"Instalação usina solar para produção de energia fotovoltaica e assim promover a redução dos gastos com energia do hospital.";"8610-1 - Atividades de atendimento hospitalar";"6462-0 - Holdings de instituições não-financeiras";"Implantação";"2019 - 2020"
"2020";"1";"29/01/2020";"Plenum";"M3 Health Indústria e Comércio de Produtos Médicos, Odontológicos e Correlatos";"100,00";"24,10";"Sim";"Jundiaí";"RA Campinas";"Instalação fábrica que produz implantes dentários de titânio com impressoras 3D";"3250-7 - Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos";"3250-7 - Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos";"Implantação";"2009 - 2019"
"2020";"1";"06/02/2020";"Hospital de Caridade São Vicente de Paulo";"Hospital de Caridade São Vicente de Paulo";"0,60";"0,14";"Sim";"Jundiaí";"RA Campinas";"Reforma pavimento superior no telhado e na parte elétrica  do hospital.";"8610-1 - Atividades de atendimento hospitalar";"8610-1 - Atividades de atendimento hospitalar";"Implantação";"2020 - ..."
"2020";"1";"11/03/2020";"IBS Paper Performance";"IBS do Brasil Tecnologia em Papel";"10,00";"2,05";"Sim";"Nova Odessa";"RA Campinas";"Instalação nova fábrica de papel em Nova Odessa";"1721-4 - Fabricação de papel";"2865-8 - Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos";"Implantação";"2020 - 2020"
"2020";"1";"12/02/2020";"São Paulo Advanced Research Center for Biological Control - SPARCBio";"Koppert do Brasil Holding / Fundação de Amparo à Pesquisa do Estado de São Paulo - Fapesp";"40,00";"9,22";"Sim";"Piracicaba";"RA Campinas";"Lançamento centro de pesquisas para controle biológico de pragas e doenças na agricultura, em parceria com a Esalq/USP e a Fapesp";"7210-0 - Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"4683-4 - Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo / 8411-6 - Administração pública em geral";"Implantação";"2020 - 2029"
"2020";"1";"05/03/2020";"Usina Batatais";"Usina Batatais Açúcar e Álcool";"158,00";"32,35";"Sim";"Batatais";"RA Franca";"Ampliação canavial para aumento da produção";"0113-0 - Cultivo de cana-de-açúcar";"1071-6 - Fabricação de açúcar em bruto";"Ampliação";"2020 - 2020"
"2020";"1";"05/03/2020";"Serviço Social do Transporte - Sest e Serviço Nacional de Aprendizagem do Transporte - Senat";"Serviço Social do Transporte - Sest";"12,90";"2,64";"Sim";"Osvaldo Cruz";"RA Presidente Prudente";"Inauguração unidade de formação e qualificação de profissionais do setor de transportes";"8599-6 - Atividades de ensino não especificadas anteriormente";"8800-6 - Serviços de assistência social sem alojamento";"Implantação";"2020 - 2020"
"2020";"1";"03/01/2020";"Terra Parque Eco Resort";"Terra Parque Eco Resort";"...";"...";"Não";"Pirapozinho";"RA Presidente Prudente";"Inauguração espaço de festas para eventos";"5510-8 - Hotéis e similares";"5510-8 - Hotéis e similares";"Ampliação";"2019 - 2019"
"2020";"1";"16/01/2020";"Tuk Tuk Transporte Alternativo";"Jaqueline Estevão da Silva";"0,02";"0,00";"Sim";"Presidente Epitácio";"RA Presidente Prudente";"Lançamento serviço de transporte alternativo de passageiros para corridas regulares e passeios turísticos";"5229-0 - Atividades auxiliares dos transportes terrestres não especificadas anteriormente";"4923-0 - Transporte rodoviário de táxi";"Implantação";"2019 - 2019"
"2020";"1";"02/02/2020";"Instituto do Coração de Presidente Prudente";"Instituto do Coração de Presidente Prudente";"2,00";"0,46";"Sim";"Presidente Prudente";"RA Presidente Prudente";"Aquisição equipamento(s) de hemodinâmica destinado para cateterismo";"8610-1 - Atividades de atendimento hospitalar";"8610-1 - Atividades de atendimento hospitalar";"Ampliação/Modernização";"... - 2020"
"2020";"1";"05/03/2020";"Ademilar";"Ademilar Administradora de Consórcios";"0,06";"0,01";"Sim";"Presidente Prudente";"RA Presidente Prudente";"Inauguração unidade de negócios da empresa de consórcios";"6493-0 - Administração de consórcios para aquisição de bens e direitos";"6493-0 - Administração de consórcios para aquisição de bens e direitos";"Implantação";"2019 - 2020"
"2020";"1";"10/03/2020";"Energisa";"Energisa";"25,00";"5,12";"Sim";"Presidente Prudente";"RA Presidente Prudente";"Expansão e instalação subestações de energia, garantindo melhor fornecimento de energia elétrica ao município";"3512-3 - Transmissão de energia elétrica";"6462-0 - Holdings de instituições não-financeiras";"Ampliação";"2020 - 2020"
"2020";"1";"04/01/2020";"Granja Acampamento";"Granja Acampamento";"3,00";"0,72";"Sim";"Regente Feijó";"RA Presidente Prudente";"Ampliação e modernização produção de ovos";"0155-5 - Criação de aves";"4633-8 - Comércio atacadista de hortifrutigranjeiros";"Ampliação";"2019 - ..."
"2020";"1";"05/03/2020";"Concessionária Auto Raposo Tavares - Cart";"Concessionária Auto Raposo Tavares - Cart";"...";"...";"Não";"Regente Feijó";"RA Presidente Prudente";"Implantação passarela para travessia de pedestres no km 558";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"Ampliação";"2020 - 2020"
"2020";"1";"01/02/2020";"Liza Silone";"Elizabeth Cristina Silone Santos";"0,05";"0,01";"Sim";"Cubatão";"RA Santos";"Inauguração novo espaço de serviço de design de sobrancelhas e limpeza de pele";"9602-5 - Cabeleireiros e outras atividades de tratamento de beleza";"9602-5 - Cabeleireiros e outras atividades de tratamento de beleza";"Implantação";"2019 - 2020"
