cod_ibge;municipio;ano;populacao_total;porte_populacional;sequencia_porte
3507209;Borá;2021;811;Até 10.000;1
3532868;Nova Castilho;2021;1.180;Até 10.000;1
3555901;Uru;2021;1.203;Até 10.000;1
3547650;Santa Salete;2021;1.438;Até 10.000;1
3547205;Santana da Ponte Pensa;2021;1.497;Até 10.000;1
3515806;Flora Rica;2021;1.575;Até 10.000;1
3515657;Fernão;2021;1.656;Até 10.000;1
3513850;Dirce Reis;2021;1.715;Até 10.000;1
3554755;Trabiju;2021;1.716;Até 10.000;1
3555703;União Paulista;2021;1.751;Até 10.000;1
3503950;Aspásia;2021;1.760;Até 10.000;1
3556958;Vitória Brasil;2021;1.761;Até 10.000;1
3536570;Paulistânia;2021;1.769;Até 10.000;1
3555307;Turmalina;2021;1.789;Até 10.000;1
3503356;Arco-Íris;2021;1.806;Até 10.000;1
3549250;São João de Iracema;2021;1.853;Até 10.000;1
3529658;Mesópolis;2021;1.893;Até 10.000;1
3555208;Turiúba;2021;1.905;Até 10.000;1
3518008;Guarani d'Oeste;2021;1.917;Até 10.000;1
3532843;Nova Canaã Paulista;2021;1.921;Até 10.000;1
3549300;São João do Pau d'Alho;2021;1.973;Até 10.000;1
3546108;Santa Clara d'Oeste;2021;1.998;Até 10.000;1
3514205;Dolcinópolis;2021;2.033;Até 10.000;1
3536257;Parisi;2021;2.053;Até 10.000;1
3546256;Santa Cruz da Esperança;2021;2.086;Até 10.000;1
3529104;Marinópolis;2021;2.096;Até 10.000;1
3513306;Cruzália;2021;2.105;Até 10.000;1
3543238;Ribeirão dos Índios;2021;2.135;Até 10.000;1
3531001;Monções;2021;2.173;Até 10.000;1
3527256;Lourdes;2021;2.183;Até 10.000;1
3533106;Nova Guataporanga;2021;2.192;Até 10.000;1
3527504;Lucianópolis;2021;2.264;Até 10.000;1
3554656;Torre de Pedra;2021;2.325;Até 10.000;1
3544707;Sagres;2021;2.362;Até 10.000;1
3547403;Santa Rita d'Oeste;2021;2.389;Até 10.000;1
3514957;Embaúba;2021;2.406;Até 10.000;1
3536901;Pedranópolis;2021;2.412;Até 10.000;1
3549201;São João das Duas Pontes;2021;2.466;Até 10.000;1
3503158;Arapeí;2021;2.469;Até 10.000;1
3510906;Cássia dos Coqueiros;2021;2.486;Até 10.000;1
3534500;Oscar Bressane;2021;2.508;Até 10.000;1
3533809;Óleo;2021;2.517;Até 10.000;1
3540309;Pontes Gestal;2021;2.530;Até 10.000;1
3554607;Timburi;2021;2.551;Até 10.000;1
3557154;Zacarias;2021;2.574;Até 10.000;1
3507456;Borebi;2021;2.602;Até 10.000;1
3527900;Lutécia;2021;2.615;Até 10.000;1
3549003;São Francisco;2021;2.667;Até 10.000;1
3515301;Estrela do Norte;2021;2.668;Até 10.000;1
3510104;Cândido Rodrigues;2021;2.672;Até 10.000;1
3516507;Gabriel Monteiro;2021;2.677;Até 10.000;1
3516101;Florínea;2021;2.697;Até 10.000;1
3553658;Taquaral;2021;2.753;Até 10.000;1
3507753;Brejo Alegre;2021;2.780;Até 10.000;1
3547106;Santa Mercedes;2021;2.814;Até 10.000;1
3515905;Floreal;2021;2.842;Até 10.000;1
3540853;Pracinha;2021;2.921;Até 10.000;1
3528858;Marapoama;2021;2.925;Até 10.000;1
3530003;Mira Estrela;2021;2.949;Até 10.000;1
3506201;Bento de Abreu;2021;2.966;Até 10.000;1
3548302;Santo Expedito;2021;2.986;Até 10.000;1
3544509;Rubinéia;2021;2.996;Até 10.000;1
3537156;Pedrinhas Paulista;2021;3.015;Até 10.000;1
3515129;Emilianópolis;2021;3.069;Até 10.000;1
3528304;Magda;2021;3.076;Até 10.000;1
3532157;Nantes;2021;3.103;Até 10.000;1
3544400;Rubiácea;2021;3.138;Até 10.000;1
3525409;Jeriquara;2021;3.141;Até 10.000;1
3500600;Águas de São Pedro;2021;3.144;Até 10.000;1
3522158;Itaoca;2021;3.187;Até 10.000;1
3501509;Alvinlândia;2021;3.190;Até 10.000;1
3542800;Ribeira;2021;3.240;Até 10.000;1
3551306;Sebastianópolis do Sul;2021;3.304;Até 10.000;1
3541802;Queiroz;2021;3.319;Até 10.000;1
3530904;Mombuca;2021;3.338;Até 10.000;1
3540101;Pongaí;2021;3.340;Até 10.000;1
3525854;Jumirim;2021;3.343;Até 10.000;1
3505005;Barão de Antonina;2021;3.407;Até 10.000;1
3500204;Adolfo;2021;3.436;Até 10.000;1
3543600;Rifaina;2021;3.470;Até 10.000;1
3514924;Elisiário;2021;3.518;Até 10.000;1
3539707;Platina;2021;3.528;Até 10.000;1
3538303;Piquerobi;2021;3.532;Até 10.000;1
3528205;Macedônia;2021;3.562;Até 10.000;1
3501202;Álvares Florence;2021;3.596;Até 10.000;1
3551207;Sarutaiá;2021;3.652;Até 10.000;1
3522000;Itaju;2021;3.688;Até 10.000;1
3504701;Balbinos;2021;3.707;Até 10.000;1
3529609;Meridiano;2021;3.725;Até 10.000;1
3541653;Quadra;2021;3.745;Até 10.000;1
3533205;Nova Independência;2021;3.774;Até 10.000;1
3542305;Redenção da Serra;2021;3.834;Até 10.000;1
3520707;Indiaporã;2021;3.847;Até 10.000;1
3503505;Areias;2021;3.860;Até 10.000;1
3507159;Bom Sucesso de Itararé;2021;3.894;Até 10.000;1
3535903;Paranapuã;2021;3.895;Até 10.000;1
3520806;Inúbia Paulista;2021;3.913;Até 10.000;1
3500808;Alfredo Marcondes;2021;3.924;Até 10.000;1
