Ano,Trimestre,Data do Anuncio,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhoes),Dolar (em milhoes),Valor Informado,Municipio,Regiao,Descricao do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Periodo
2020,1,03/01/2020,Farmarcas,Associacao Multimarcas de Farmacias e Drogarias Farmarcas,NA,NA,Nao,Inter-regionais,Inter-regionais,Expansao rede de farmacias e drogarias,4771-7 - Comercio varejista de produtos farmaceuticos para uso humano e veterinario,9411-1 - Atividades de organizacoes associativas patronais e empresariais,Implantacao,2020 - 2022
2020,1,10/01/2020,Pizza Estupenda,Pizza Estupenda Franchising,NA,NA,Nao,Inter-regionais,Inter-regionais,Expansao rede de pizzarias por meio de franquias,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,7740-3 - Gestao de ativos intangiveis nao-financeiros,Ampliacao,2019 - ...
2020,1,24/01/2020,Petland,Animalize Comercio de Produtos de Petshop,NA,NA,Nao,Inter-regionais,Inter-regionais,Expansao rede de lojas de pet shop,4789-0 - Comercio varejista de outros produtos novos nao especificados anteriormente,4789-0 - Comercio varejista de outros produtos novos nao especificados anteriormente,Implantacao,2019 - 2020
2020,1,11/02/2020,Mercado Livre,Mercadolivre.com Atividades de Internet,NA,NA,Nao,Inter-regionais,Inter-regionais,Expansao servicos de comercio eletronico e servicos financeiros atraves do Mercado Pago,"4713-0 - Comercio varejista de mercadorias em geral, sem predominancia de produtos alimenticios","7490-1 - Atividades profissionais, cientificas e tecnicas nao especificadas anteriormente",Ampliacao/Modernizacao,2020 - 2020
2020,1,13/02/2020,Viacao Itapemirim,Viacao Itapemirim,NA,NA,Nao,Inter-regionais,Inter-regionais,"Criacao empresa de companhia aerea com 35 aeronaves, a partir de aporte de fundo soberano dos Emirados Arabes Unidos",5111-1 - Transporte aereo de passageiros regular,"4922-1 - Transporte rodoviario coletivo de passageiros, com itinerario fixo, intermunicipal, interestadual e internacional",Implantacao,2020 - ...
2020,1,18/02/2020,Multiplan,Multiplan Empreendimentos Imobiliarios,NA,NA,Nao,Inter-regionais,Inter-regionais,Ampliacao e modernizacao rede de shopping centers administrados pela empresa,6822-6 - Gestao e administracao da propriedade imobiliaria,6810-2 - Atividades imobiliarias de imoveis proprios,Ampliacao,2020 - 2020
2020,1,17/02/2020,Atacadao,Carrefour Comercio e Industria,NA,NA,Nao,Inter-regionais,Inter-regionais,Expansao rede de supermercados com abertura de pelo menos 20 lojas bandeira Atacadao,"4691-5 - Comercio atacadista de mercadorias em geral, com predominancia de produtos alimenticios","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Ampliacao,2020 - 2020
2020,1,21/02/2020,Audi,Audi do Brasil Industria e Comercio de Veiculos,NA,NA,Nao,Inter-regionais,Inter-regionais,Instalacao postos de recarga de energia nos proximos 2 anos,4731-8 - Comercio varejista de combustiveis para veiculos automotores,4511-1 - Comercio a varejo e por atacado de veiculos automotores,Implantacao,2020 - 2022
2020,1,24/02/2020,Localfrio,Localfrio Armazens Gerais Frigorificos,NA,NA,Nao,Inter-regionais,Inter-regionais,Ampliacao servicos logisticos para oferecer solucoes integradas para grandes e medias companhias,5231-1 - Gestao de portos e terminais,5231-1 - Gestao de portos e terminais,Ampliacao,2020 - ...
2020,1,22/02/2020,Energisa,Energisa,NA,NA,Nao,Inter-regionais,Inter-regionais,Ampliacao operacoes de distribuicao e transmissao de energia eletrica,3514-0 - Distribuicao de energia eletrica,6462-0 - Holdings de instituicoes nao-financeiras,Ampliacao,2020 - 2020
2020,1,05/03/2020,Tiete Agroindustrial,Tiete Agroindustrial,NA,NA,Nao,Inter-regionais,Inter-regionais,Ampliacao capacidade de moagem de cana-de-acucar,0113-0 - Cultivo de cana-de-acucar,0113-0 - Cultivo de cana-de-acucar,Ampliacao,2020 - 2020
2020,1,08/03/2020,AmBev,AmBev,NA,NA,Nao,Inter-regionais,Inter-regionais,Expansao fabricas de cervejaria,"1113-5 - Fabricacao de malte, cervejas e chopes","1113-5 - Fabricacao de malte, cervejas e chopes",Ampliacao,2020 - 2020
2020,1,10/03/2020,Havan,Havan Lojas de Departamentos,30,6.14,Sim,Inter-regionais,Inter-regionais,Inauguracao lojas da rede de lojas de departamento,"4713-0 - Comercio varejista de mercadorias em geral, sem predominancia de produtos alimenticios","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Implantacao,2020 - 2020
2020,1,30/01/2020,Eixo SP,Concessionaria de Rodovias Piracicaba?Panorama,14000,3374.14,Sim,Inter-regionais,Inter-regionais,"Concessao manutencao e ampliacao do conjunto de estradas para operar o Lote PiPa entre Piracicaba e Panorama., por 30 anos","5221-4 - Concessionarias de rodovias, pontes, tuneis e servicos relacionados","5221-4 - Concessionarias de rodovias, pontes, tuneis e servicos relacionados",Implantacao,2020 - 2050
2020,1,03/02/2020,Solinftec,Tec Soil Automacao e Sistemas,NA,NA,Nao,Aracatuba,RA Aracatuba,Expansao e modernizacao empresa de startup para aumentar base de usuarios e territorio atendido,0161-0 - Atividades de apoio a agricultura,6202-3 - Desenvolvimento e licenciamento de programas de computador customizaveis,Ampliacao/Modernizacao,2020 - ...
2020,1,09/02/2020,Lokan,Lokan Maquinas e Equipamentos,NA,NA,Nao,Bauru,RA Bauru,"Abertura unidade da empresa, a segunda na cidade de Bauru","4662-1 - Comercio atacadista de maquinas, equipamentos para terraplenagem, mineracao e construcao; partes e pecas","4662-1 - Comercio atacadista de maquinas, equipamentos para terraplenagem, mineracao e construcao; partes e pecas",Ampliacao,2020 - 2020
2020,1,22/01/2020,Bracell,Bracell Celulose Soluvel Especial Participacoes,1000,241.01,Sim,Lencois Paulista,RA Bauru,Modernizacao fabrica de celulose nas instalacoes de gaseificacao de biomassa e no sistema de distribuicao de energia,1710-9 - Fabricacao de celulose e outras pastas para a fabricacao de papel,1710-9 - Fabricacao de celulose e outras pastas para a fabricacao de papel,Ampliacao,2018 - 2021
2020,1,11/03/2020,JBS Embalagens Metalicas,JBS Embalagens Metalicas,13,2.66,Sim,Lins,RA Bauru,Modernizacao equipamento(s) e processos da fabrica para dobrar sua capacidade produtiva,2591-8 - Fabricacao de embalagens metalicas,2591-8 - Fabricacao de embalagens metalicas,Ampliacao/Modernizacao,2020 - 2020
2020,1,05/02/2020,Volvo,Volvo do Brasil Veiculos,NA,NA,Nao,Pederneiras,RA Bauru,Desenvolvimento produto(s) e servicos voltados para maquinas e pecas para caminhoes articulados e pas-carregadeiras.,"2854-2 - Fabricacao de maquinas e equipamentos para terraplenagem, pavimentacao e construcao, exceto tratores",2920-4 - Fabricacao de caminhoes e onibus,Ampliacao/Modernizacao,2020 - 2023
2020,1,14/01/2020,Brotas Eco Resort,Peraltas Acampamento de Brotas,NA,NA,Nao,Brotas,RA Campinas,Ampliacao Resort com inauguracao da piscina tematica Lagoa Encantada,5510-8 - Hoteis e similares,5510-8 - Hoteis e similares,Ampliacao,2019 - 2020
2020,1,21/01/2020,Vila Pocao,Ecoparque Pocao,NA,NA,Nao,Brotas,RA Campinas,Inauguracao chales para locacao do Ecoparque Pocao chamado de Vila Pocao,5510-8 - Hoteis e similares,9329-8 - Atividades de recreacao e lazer nao especificadas anteriormente,Ampliacao,2019 - 2020
2020,1,01/01/2020,FedEx,Federal Express Corporation,NA,NA,Nao,Campinas,RA Campinas,Ampliacao e modernizacao armazem de encomendas no Aeroporto de Viracopos,5320-2 - Atividades de malote e de entrega,5120-0 - Transporte aereo de carga,Ampliacao/Modernizacao,2019 - 2019
2020,1,02/01/2020,Hospital Sao Luiz,Rede D'Or Sao Luiz,NA,NA,Nao,Campinas,RA Campinas,"Construcao hospital e maternidade com 430 leitos, 120 UTIs e dez salas de cirurgia robotica",8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Implantacao,2020 - ...
2020,1,17/03/2020,Superlogica,Warburg Pincus Ventures,300,61.43,Sim,Campinas,RA Campinas,Expansao operacoes de startup de administracao de condominios,6822-6 - Gestao e administracao da propriedade imobiliaria,6462-0 - Holdings de instituicoes nao-financeiras,Ampliacao,... - 2020
2020,1,06/02/2020,Sabesp,Cia. de Saneamento Basico do Estado de Sao Paulo,9,2.07,Sim,Itupeva,RA Campinas,Implantacao coletor-tronco as margens do rio jundiai e ribeirao Caxambu com quase 8km de extensao,3701-1 - Gestao de redes de esgoto,"3600-6 - Captacao, tratamento e distribuicao de agua",Ampliacao,2020 - 2021
2020,1,07/01/2020,Hospital de Caridade Sao Vicente de Paulo,CPFL Energia,0.74,0.18,Sim,Jundiai,RA Campinas,Instalacao usina solar para producao de energia fotovoltaica e assim promover a reducao dos gastos com energia do hospital.,8610-1 - Atividades de atendimento hospitalar,6462-0 - Holdings de instituicoes nao-financeiras,Implantacao,2019 - 2020
2020,1,29/01/2020,Plenum,"M3 Health Industria e Comercio de Produtos Medicos, Odontologicos e Correlatos",100,24.1,Sim,Jundiai,RA Campinas,Instalacao fabrica que produz implantes dentarios de titanio com impressoras 3D,3250-7 - Fabricacao de instrumentos e materiais para uso medico e odontologico e de artigos opticos,3250-7 - Fabricacao de instrumentos e materiais para uso medico e odontologico e de artigos opticos,Implantacao,2009 - 2019
2020,1,06/02/2020,Hospital de Caridade Sao Vicente de Paulo,Hospital de Caridade Sao Vicente de Paulo,0.6,0.14,Sim,Jundiai,RA Campinas,Reforma pavimento superior no telhado e na parte eletrica  do hospital.,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Implantacao,2020 - ...
2020,1,11/03/2020,IBS Paper Performance,IBS do Brasil Tecnologia em Papel,10,2.05,Sim,Nova Odessa,RA Campinas,Instalacao nova fabrica de papel em Nova Odessa,1721-4 - Fabricacao de papel,"2865-8 - Fabricacao de maquinas e equipamentos para as industrias de celulose, papel e papelao e artefatos",Implantacao,2020 - 2020
2020,1,12/02/2020,Sao Paulo Advanced Research Center for Biological Control - SPARCBio,Koppert do Brasil Holding / Fundacao de Amparo a Pesquisa do Estado de Sao Paulo - Fapesp,40,9.22,Sim,Piracicaba,RA Campinas,"Lancamento centro de pesquisas para controle biologico de pragas e doencas na agricultura, em parceria com a Esalq/USP e a Fapesp",7210-0 - Pesquisa e desenvolvimento experimental em ciencias fisicas e naturais,"4683-4 - Comercio atacadista de defensivos agricolas, adubos, fertilizantes e corretivos do solo / 8411-6 - Administracao publica em geral",Implantacao,2020 - 2029
2020,1,05/03/2020,Usina Batatais,Usina Batatais Acucar e Alcool,158,32.35,Sim,Batatais,RA Franca,Ampliacao canavial para aumento da producao,0113-0 - Cultivo de cana-de-acucar,1071-6 - Fabricacao de acucar em bruto,Ampliacao,2020 - 2020
2020,1,05/03/2020,Servico Social do Transporte - Sest e Servico Nacional de Aprendizagem do Transporte - Senat,Servico Social do Transporte - Sest,12.9,2.64,Sim,Osvaldo Cruz,RA Presidente Prudente,Inauguracao unidade de formacao e qualificacao de profissionais do setor de transportes,8599-6 - Atividades de ensino nao especificadas anteriormente,8800-6 - Servicos de assistencia social sem alojamento,Implantacao,2020 - 2020
2020,1,03/01/2020,Terra Parque Eco Resort,Terra Parque Eco Resort,NA,NA,Nao,Pirapozinho,RA Presidente Prudente,Inauguracao espaco de festas para eventos,5510-8 - Hoteis e similares,5510-8 - Hoteis e similares,Ampliacao,2019 - 2019
2020,1,16/01/2020,Tuk Tuk Transporte Alternativo,Jaqueline Estevao da Silva,0.02,0,Sim,Presidente Epitacio,RA Presidente Prudente,Lancamento servico de transporte alternativo de passageiros para corridas regulares e passeios turisticos,5229-0 - Atividades auxiliares dos transportes terrestres nao especificadas anteriormente,4923-0 - Transporte rodoviario de taxi,Implantacao,2019 - 2019
2020,1,02/02/2020,Instituto do Coracao de Presidente Prudente,Instituto do Coracao de Presidente Prudente,2,0.46,Sim,Presidente Prudente,RA Presidente Prudente,Aquisicao equipamento(s) de hemodinamica destinado para cateterismo,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Ampliacao/Modernizacao,... - 2020
2020,1,05/03/2020,Ademilar,Ademilar Administradora de Consorcios,0.06,0.01,Sim,Presidente Prudente,RA Presidente Prudente,Inauguracao unidade de negocios da empresa de consorcios,6493-0 - Administracao de consorcios para aquisicao de bens e direitos,6493-0 - Administracao de consorcios para aquisicao de bens e direitos,Implantacao,2019 - 2020
2020,1,10/03/2020,Energisa,Energisa,25,5.12,Sim,Presidente Prudente,RA Presidente Prudente,"Expansao e instalacao subestacoes de energia, garantindo melhor fornecimento de energia eletrica ao municipio",3512-3 - Transmissao de energia eletrica,6462-0 - Holdings de instituicoes nao-financeiras,Ampliacao,2020 - 2020
2020,1,04/01/2020,Granja Acampamento,Granja Acampamento,3,0.72,Sim,Regente Feijo,RA Presidente Prudente,Ampliacao e modernizacao producao de ovos,0155-5 - Criacao de aves,4633-8 - Comercio atacadista de hortifrutigranjeiros,Ampliacao,2019 - ...
2020,1,05/03/2020,Concessionaria Auto Raposo Tavares - Cart,Concessionaria Auto Raposo Tavares - Cart,NA,NA,Nao,Regente Feijo,RA Presidente Prudente,Implantacao passarela para travessia de pedestres no km 558,"5221-4 - Concessionarias de rodovias, pontes, tuneis e servicos relacionados","5221-4 - Concessionarias de rodovias, pontes, tuneis e servicos relacionados",Ampliacao,2020 - 2020
2020,1,01/02/2020,Liza Silone,Elizabeth Cristina Silone Santos,0.05,0.01,Sim,Cubatao,RA Santos,Inauguracao novo espaco de servico de design de sobrancelhas e limpeza de pele,9602-5 - Cabeleireiros e outras atividades de tratamento de beleza,9602-5 - Cabeleireiros e outras atividades de tratamento de beleza,Implantacao,2019 - 2020
2020,1,15/01/2020,Villamar Shopping,Grupo Mendes Empreendimentos,NA,NA,Nao,Praia Grande,RA Santos,Construcao Shopping Center que abrigara cerca de 300 lojas,6822-6 - Gestao e administracao da propriedade imobiliaria,6822-6 - Gestao e administracao da propriedade imobiliaria,Implantacao,2020 - 2022
2020,1,16/01/2020,Casa de Saude Praia Grande,Casa de Saude Santos,NA,NA,Nao,Praia Grande,RA Santos,Abertura hospital trata-se de hospital com pronto socorro para atendimento na Praia Grande.,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Implantacao,2020 - 2020
2020,1,09/01/2020,Santa Casa de Santos,Irmandade da Santa Casa de Misericordia de Santos,NA,NA,Nao,Santos,RA Santos,Inauguracao Pronto Socorro da Santa Casa de Misericordia de Santos,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Ampliacao,2019 - 2020
2020,1,24/01/2020,Orla da Prata,Milena Esposito Sarno Martins,0.01,0,Sim,Santos,RA Santos,Abertura loja de joias de prata,4783-1 - Comercio varejista de joias e relogios,7319-0 - Atividades de publicidade nao especificadas anteriormente,Implantacao,2019 - 2019
2020,1,02/02/2020,Santista Class Optica,Santista Class Optica,NA,NA,Nao,Santos,RA Santos,Desenvolvimento plataforma de e-commerce e oferta de produtos exclusivos,4774-1 - Comercio varejista de artigos de optica,4774-1 - Comercio varejista de artigos de optica,Implantacao,2019 - ...
2020,1,03/02/2020,Terminal de Passageiros Giusfredo Santini,Concais,190,43.77,Sim,Santos,RA Santos,Ampliacao e modernizacao terminal de passageiros para melhorar a logistica e agilizar o embarque,5231-1 - Gestao de portos e terminais,5231-1 - Gestao de portos e terminais,Ampliacao,2020 - 2040
2020,1,12/02/2020,Wilson Sons Logistica,Wilson Sons Logistica,NA,NA,Nao,Santos,RA Santos,Implantacao sistema(s) com Inteligencia Artificial na gestao de sua frota no Porto de Santos,5030-1 - Navegacao de apoio maritimo,5250-8 - Atividades relacionadas a organizacao do transporte de carga,Ampliacao,2018 - 2020
2020,1,21/01/2020,Leroy Merlin,Leroy Merlin Companhia Brasileira de Bricolagem,NA,NA,Nao,Sao Vicente,RA Santos,Inauguracao loja de materiais de construcao e bricolagem dentro de um Shopping da cidade de Sao Vicente.,"4744-0 - Comercio varejista de ferragens, madeira e materiais de construcao","4744-0 - Comercio varejista de ferragens, madeira e materiais de construcao",Implantacao,2020 - 2020
2020,1,04/02/2020,GasBrasiliano,Gas Brasiliano Distribuidora,40,9.22,Sim,Catanduva,RA Sao Jose do Rio Preto,Inauguracao rede de distribuicao de gas natural canalizado,3520-4 - Producao de gas; processamento de gas natural; distribuicao de combustiveis gasosos por redes urbanas,3520-4 - Producao de gas; processamento de gas natural; distribuicao de combustiveis gasosos por redes urbanas,Ampliacao,2018 - 2020
2020,1,29/01/2020,Coco Bambu,CB RP Comercio de Alimentos,NA,NA,Nao,Sao Jose do Rio Preto,RA Sao Jose do Rio Preto,Abertura restaurante no Shopping Iguatemi de Rio Preto,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Implantacao,2020 - 2020
2020,1,29/01/2020,Lacoste,Devanlay Ventures do Brasil Comercio Importacao e Exportacao Participacoes,NA,NA,Nao,Sao Jose do Rio Preto,RA Sao Jose do Rio Preto,Abertura loja no Shopping Iguatemi de Rio Preto,4781-4 - Comercio varejista de artigos do vestuario e acessorios,4642-7 - Comercio atacadista de artigos do vestuario e acessorios,Implantacao,2020 - 2020
2020,1,29/01/2020,Sanshi,Sanshi Asian Food,NA,NA,Nao,Sao Jose do Rio Preto,RA Sao Jose do Rio Preto,Abertura restaurante no Shopping Cidade Norte,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Implantacao,2019 - 2020
