nome_munic;codigo_ibge;datahora;casos;obitos
Adamantina;3500105;2020-05-01;    5;   0
Adolfo;3500204;2020-05-01;    1;   0
Aguaí;3500303;2020-05-01;   14;   2
Águas da Prata;3500402;2020-05-01;    1;   0
Águas de Lindóia;3500501;2020-05-01;    4;   1
Águas de São Pedro;3500600;2020-05-01;    1;   0
Agudos;3500709;2020-05-01;   15;   1
Alambari;3500758;2020-05-01;    1;   0
Álvares Machado;3501301;2020-05-01;    1;   0
Americana;3501608;2020-05-01;   53;   3
Américo Brasiliense;3501707;2020-05-01;    7;   0
Amparo;3501905;2020-05-01;    9;   0
Andradina;3502101;2020-05-01;   11;   0
Angatuba;3502200;2020-05-01;    2;   1
Anhembi;3502309;2020-05-01;    2;   0
Aparecida;3502507;2020-05-01;    1;   0
Apiaí;3502705;2020-05-01;    1;   0
Araçariguama;3502754;2020-05-01;    3;   1
Araçatuba;3502804;2020-05-01;   71;   2
Araçoiaba da Serra;3502903;2020-05-01;    4;   0
Arandu;3503109;2020-05-01;   10;   2
Araraquara;3503208;2020-05-01;   72;   3
Araras;3503307;2020-05-01;   19;   2
Arealva;3503406;2020-05-01;    1;   0
Areiópolis;3503604;2020-05-01;    4;   0
Artur Nogueira;3503802;2020-05-01;    2;   0
Arujá;3503901;2020-05-01;   62;   2
Assis;3504008;2020-05-01;   15;   2
Atibaia;3504107;2020-05-01;   35;   1
Avaí;3504305;2020-05-01;    1;   0
Avaré;3504503;2020-05-01;   22;   1
Bady Bassitt;3504602;2020-05-01;    2;   0
Bariri;3505203;2020-05-01;    1;   0
Barra Bonita;3505302;2020-05-01;    8;   1
Barra do Turvo;3505401;2020-05-01;    1;   0
Barretos;3505500;2020-05-01;   52;   3
Barueri;3505708;2020-05-01;  314;  15
Batatais;3505906;2020-05-01;    2;   1
Bauru;3506003;2020-05-01;  117;   7
Bebedouro;3506102;2020-05-01;    6;   0
Bilac;3506409;2020-05-01;    1;   0
Birigui;3506508;2020-05-01;   21;   0
Biritiba Mirim;3506607;2020-05-01;    8;   0
Bocaina;3506805;2020-05-01;    3;   0
Boituva;3507001;2020-05-01;   13;   0
Bom Jesus dos Perdões;3507100;2020-05-01;    2;   0
Borborema;3507407;2020-05-01;    1;   0
Borebi;3507456;2020-05-01;    2;   0
Botucatu;3507506;2020-05-01;   73;   4
Bragança Paulista;3507605;2020-05-01;   74;  10
Brodowski;3507803;2020-05-01;    9;   0
Buritama;3508108;2020-05-01;    5;   0
Cabreúva;3508405;2020-05-01;    3;   0
Caçapava;3508504;2020-05-01;   11;   0
Cachoeira Paulista;3508603;2020-05-01;    3;   0
Caconde;3508702;2020-05-01;    1;   0
Caiabu;3508900;2020-05-01;    1;   1
Caieiras;3509007;2020-05-01;   99;  11
Cajamar;3509205;2020-05-01;   50;   7
Cajati;3509254;2020-05-01;    5;   0
Cajobi;3509304;2020-05-01;    1;   0
Cajuru;3509403;2020-05-01;    2;   0
Campinas;3509502;2020-05-01;  372;  19
Campo Limpo Paulista;3509601;2020-05-01;   20;   2
Campos do Jordão;3509700;2020-05-01;    3;   0
Cananéia;3509908;2020-05-01;    6;   1
Capão Bonito;3510203;2020-05-01;    5;   1
Capela do Alto;3510302;2020-05-01;    2;   0
Caraguatatuba;3510500;2020-05-01;   33;   4
Carapicuíba;3510609;2020-05-01;  240;  11
Castilho;3511003;2020-05-01;    2;   0
Catanduva;3511102;2020-05-01;   17;   3
Cedral;3511300;2020-05-01;    1;   0
Charqueada;3511706;2020-05-01;    4;   1
Colina;3512001;2020-05-01;    1;   0
Conchal;3512209;2020-05-01;    1;   0
Conchas;3512308;2020-05-01;    1;   1
Cordeirópolis;3512407;2020-05-01;    1;   0
Coroados;3512506;2020-05-01;    1;   0
Cosmópolis;3512803;2020-05-01;    1;   0
Cosmorama;3512902;2020-05-01;    2;   0
Cotia;3513009;2020-05-01;  181;  19
Cravinhos;3513108;2020-05-01;    8;   1
Cruzeiro;3513405;2020-05-01;    6;   2
Cubatão;3513504;2020-05-01;   39;   0
Diadema;3513801;2020-05-01;  316;  23
Dobrada;3514007;2020-05-01;    1;   0
Dracena;3514403;2020-05-01;    8;   2
Duartina;3514502;2020-05-01;    1;   0
Eldorado;3514809;2020-05-01;    2;   1
Elias Fausto;3514908;2020-05-01;    1;   0
Embu das Artes;3515004;2020-05-01;  126;  13
Embu-Guaçu;3515103;2020-05-01;   33;   4
Engenheiro Coelho;3515152;2020-05-01;    8;   0
Espírito Santo do Pinhal;3515186;2020-05-01;    1;   0
Estrela d'Oeste;3515202;2020-05-01;    1;   0
Fartura;3515400;2020-05-01;    6;   0
Fernandópolis;3515509;2020-05-01;   10;   0
Ferraz de Vasconcelos;3515707;2020-05-01;   98;   6
Franca;3516200;2020-05-01;   22;   1
Francisco Morato;3516309;2020-05-01;   87;   6
Franco da Rocha;3516408;2020-05-01;  144;  13
Garça;3516705;2020-05-01;    4;   0
Guaíra;3517406;2020-05-01;    2;   0
Guará;3517703;2020-05-01;    1;   1
Guararapes;3518206;2020-05-01;    6;   0
Guararema;3518305;2020-05-01;    5;   1
Guaratinguetá;3518404;2020-05-01;    3;   0
Guariba;3518602;2020-05-01;    1;   0
Guarujá;3518701;2020-05-01;  175;   7
Guarulhos;3518800;2020-05-01;  804;  75
Guzolândia;3518909;2020-05-01;    1;   0
Holambra;3519055;2020-05-01;    2;   0
Hortolândia;3519071;2020-05-01;   30;   2
Ibaté;3519303;2020-05-01;    1;   0
Ibirá;3519402;2020-05-01;    2;   0
Ibitinga;3519600;2020-05-01;    1;   0
Ibiúna;3519709;2020-05-01;    7;   0
Iepê;3519907;2020-05-01;    1;   1
Igaraçu do Tietê;3520004;2020-05-01;    3;   0
Igarapava;3520103;2020-05-01;    1;   0
Igaratá;3520202;2020-05-01;    7;   0
Iguape;3520301;2020-05-01;    8;   0
Ilhabela;3520400;2020-05-01;    5;   0
Ilha Comprida;3520426;2020-05-01;   14;   1
Ilha Solteira;3520442;2020-05-01;    3;   0
Indaiatuba;3520509;2020-05-01;   28;   4
Itajobi;3521903;2020-05-01;    6;   1
Itanhaém;3522109;2020-05-01;   17;   1
Itapecerica da Serra;3522208;2020-05-01;  133;   8
Itapetininga;3522307;2020-05-01;   18;   1
Itapeva;3522406;2020-05-01;   11;   0
Itapevi;3522505;2020-05-01;  124;  15
Itapira;3522604;2020-05-01;   18;   3
Itaquaquecetuba;3523107;2020-05-01;  138;  17
Itararé;3523206;2020-05-01;    2;   0
Itariri;3523305;2020-05-01;    3;   0
Itatiba;3523404;2020-05-01;    9;   1
Itatinga;3523503;2020-05-01;    1;   0
Itirapina;3523602;2020-05-01;    1;   0
Itu;3523909;2020-05-01;   20;   3
Itupeva;3524006;2020-05-01;    4;   1
