"Localidades";"Períodos";"População ";"População Masculina ";"População Feminina ";"Razão de Sexos ";"População Urbana ";"População Rural ";"Grau de Urbanização (Em %)";"Cód. IBGE"
"Adamantina";"2016";"33882";"16352";"17530";"93,28";"32460";"1422";"95,8";3500105
"Adamantina";"2017";"33885";"16346";"17539";"93,2";"32518";"1367";"95,97";3500105
"Adamantina";"2018";"33888";"16339";"17549";"93,11";"32572";"1316";"96,12";3500105
"Adamantina";"2019";"33891";"16333";"17558";"93,02";"32622";"1269";"96,26";3500105
"Adamantina";"2020";"33894";"16326";"17568";"92,93";"32668";"1226";"96,38";3500105
"Adolfo";"2016";"3490";"1739";"1751";"99,31";"3203";"287";"91,78";3500204
"Adolfo";"2017";"3479";"1731";"1748";"99,03";"3200";"279";"91,98";3500204
"Adolfo";"2018";"3469";"1723";"1746";"98,68";"3198";"271";"92,19";3500204
"Adolfo";"2019";"3458";"1715";"1743";"98,39";"3194";"264";"92,37";3500204
"Adolfo";"2020";"3447";"1707";"1740";"98,1";"3189";"258";"92,52";3500204
"Aguaí";"2016";"34242";"17228";"17014";"101,26";"31322";"2920";"91,47";3500303
"Aguaí";"2017";"34578";"17391";"17187";"101,19";"31695";"2883";"91,66";3500303
"Aguaí";"2018";"34919";"17556";"17363";"101,11";"32073";"2846";"91,85";3500303
"Aguaí";"2019";"35261";"17721";"17540";"101,03";"32451";"2810";"92,03";3500303
"Aguaí";"2020";"35608";"17889";"17719";"100,96";"32833";"2775";"92,21";3500303
"Águas da Prata";"2016";"7720";"3799";"3921";"96,89";"7036";"684";"91,14";3500402
"Águas da Prata";"2017";"7739";"3807";"3932";"96,82";"7075";"664";"91,42";3500402
"Águas da Prata";"2018";"7758";"3814";"3944";"96,7";"7113";"645";"91,69";3500402
"Águas da Prata";"2019";"7777";"3822";"3955";"96,64";"7150";"627";"91,94";3500402
"Águas da Prata";"2020";"7797";"3830";"3967";"96,55";"7188";"609";"92,19";3500402
"Águas de Lindóia";"2016";"17954";"8758";"9196";"95,24";"17793";"161";"99,1";3500501
"Águas de Lindóia";"2017";"18058";"8804";"9254";"95,14";"17896";"162";"99,1";3500501
"Águas de Lindóia";"2018";"18163";"8850";"9313";"95,03";"18000";"163";"99,1";3500501
"Águas de Lindóia";"2019";"18268";"8897";"9371";"94,94";"18104";"164";"99,1";3500501
"Águas de Lindóia";"2020";"18374";"8944";"9430";"94,85";"18209";"165";"99,1";3500501
"Águas de Santa Bárbara";"2016";"5801";"2850";"2951";"96,58";"4471";"1330";"77,07";3500550
"Águas de Santa Bárbara";"2017";"5833";"2863";"2970";"96,4";"4506";"1327";"77,25";3500550
"Águas de Santa Bárbara";"2018";"5865";"2876";"2989";"96,22";"4540";"1325";"77,41";3500550
"Águas de Santa Bárbara";"2019";"5899";"2890";"3009";"96,05";"4577";"1322";"77,59";3500550
"Águas de Santa Bárbara";"2020";"5931";"2903";"3028";"95,87";"4611";"1320";"77,74";3500550
"Águas de São Pedro";"2016";"2966";"1387";"1579";"87,84";"2966";"-";"100";3500600
"Águas de São Pedro";"2017";"3004";"1406";"1598";"87,98";"3004";"-";"100";3500600
"Águas de São Pedro";"2018";"3043";"1426";"1617";"88,19";"3043";"-";"100";3500600
"Águas de São Pedro";"2019";"3082";"1446";"1636";"88,39";"3082";"-";"100";3500600
"Águas de São Pedro";"2020";"3122";"1466";"1656";"88,53";"3122";"-";"100";3500600
"Agudos";"2016";"35525";"17539";"17986";"97,51";"34127";"1398";"96,06";3500709
"Agudos";"2017";"35676";"17608";"18068";"97,45";"34299";"1377";"96,14";3500709
"Agudos";"2018";"35828";"17677";"18151";"97,39";"34471";"1357";"96,21";3500709
"Agudos";"2019";"35980";"17746";"18234";"97,32";"34642";"1338";"96,28";3500709
"Agudos";"2020";"36134";"17816";"18318";"97,26";"34815";"1319";"96,35";3500709
"Alambari";"2016";"5426";"2716";"2710";"100,22";"4307";"1119";"79,38";3500758
"Alambari";"2017";"5512";"2757";"2755";"100,07";"4410";"1102";"80,01";3500758
"Alambari";"2018";"5600";"2799";"2801";"99,93";"4516";"1084";"80,64";3500758
"Alambari";"2019";"5689";"2842";"2847";"99,82";"4622";"1067";"81,24";3500758
"Alambari";"2020";"5779";"2885";"2894";"99,69";"4729";"1050";"81,83";3500758
"Alfredo Marcondes";"2016";"3919";"1995";"1924";"103,69";"3458";"461";"88,24";3500808
"Alfredo Marcondes";"2017";"3920";"1996";"1924";"103,74";"3483";"437";"88,85";3500808
"Alfredo Marcondes";"2018";"3923";"1998";"1925";"103,79";"3509";"414";"89,45";3500808
"Alfredo Marcondes";"2019";"3924";"1999";"1925";"103,84";"3531";"393";"89,98";3500808
"Alfredo Marcondes";"2020";"3927";"2001";"1926";"103,89";"3554";"373";"90,5";3500808
"Altair";"2016";"3951";"2108";"1843";"114,38";"3264";"687";"82,61";3500907
"Altair";"2017";"3973";"2117";"1856";"114,06";"3302";"671";"83,11";3500907
"Altair";"2018";"3994";"2125";"1869";"113,7";"3339";"655";"83,6";3500907
"Altair";"2019";"4015";"2134";"1881";"113,45";"3376";"639";"84,08";3500907
"Altair";"2020";"4036";"2142";"1894";"113,09";"3413";"623";"84,56";3500907
"Altinópolis";"2016";"15560";"7758";"7802";"99,44";"14037";"1523";"90,21";3501004
"Altinópolis";"2017";"15558";"7752";"7806";"99,31";"14099";"1459";"90,62";3501004
"Altinópolis";"2018";"15557";"7747";"7810";"99,19";"14160";"1397";"91,02";3501004
"Altinópolis";"2019";"15555";"7741";"7814";"99,07";"14217";"1338";"91,4";3501004
"Altinópolis";"2020";"15553";"7735";"7818";"98,94";"14272";"1281";"91,76";3501004
"Alto Alegre";"2016";"4057";"2077";"1980";"104,9";"3356";"701";"82,72";3501103
"Alto Alegre";"2017";"4047";"2071";"1976";"104,81";"3372";"675";"83,32";3501103
"Alto Alegre";"2018";"4037";"2064";"1973";"104,61";"3386";"651";"83,87";3501103
"Alto Alegre";"2019";"4027";"2058";"1969";"104,52";"3400";"627";"84,43";3501103
"Alto Alegre";"2020";"4017";"2052";"1965";"104,43";"3412";"605";"84,94";3501103
"Alumínio";"2016";"17525";"8818";"8707";"101,27";"14698";"2827";"83,87";3501152
"Alumínio";"2017";"17636";"8869";"8767";"101,16";"14791";"2845";"83,87";3501152
"Alumínio";"2018";"17747";"8920";"8827";"101,05";"14885";"2862";"83,87";3501152
"Alumínio";"2019";"17859";"8971";"8888";"100,93";"14978";"2881";"83,87";3501152
"Alumínio";"2020";"17972";"9023";"8949";"100,83";"15073";"2899";"83,87";3501152
"Álvares Florence";"2016";"3727";"1897";"1830";"103,66";"2662";"1065";"71,42";3501202
"Álvares Florence";"2017";"3700";"1881";"1819";"103,41";"2663";"1037";"71,97";3501202
"Álvares Florence";"2018";"3673";"1864";"1809";"103,04";"2663";"1010";"72,5";3501202
"Álvares Florence";"2019";"3647";"1848";"1799";"102,72";"2663";"984";"73,02";3501202
"Álvares Florence";"2020";"3621";"1832";"1789";"102,4";"2663";"958";"73,54";3501202
"Álvares Machado";"2016";"23639";"11644";"11995";"97,07";"21474";"2165";"90,84";3501301
"Álvares Machado";"2017";"23677";"11654";"12023";"96,93";"21536";"2141";"90,96";3501301
"Álvares Machado";"2018";"23714";"11664";"12050";"96,8";"21597";"2117";"91,07";3501301
"Álvares Machado";"2019";"23751";"11674";"12077";"96,66";"21658";"2093";"91,19";3501301
"Álvares Machado";"2020";"23789";"11684";"12105";"96,52";"21720";"2069";"91,3";3501301
"Álvaro de Carvalho";"2016";"4883";"3067";"1816";"168,89";"3216";"1667";"65,86";3501400
"Álvaro de Carvalho";"2017";"4922";"3085";"1837";"167,94";"3261";"1661";"66,25";3501400
"Álvaro de Carvalho";"2018";"4962";"3104";"1858";"167,06";"3307";"1655";"66,65";3501400
"Álvaro de Carvalho";"2019";"5003";"3123";"1880";"166,12";"3353";"1650";"67,02";3501400
"Álvaro de Carvalho";"2020";"5044";"3142";"1902";"165,19";"3400";"1644";"67,41";3501400
"Alvinlândia";"2016";"3109";"1533";"1576";"97,27";"2841";"268";"91,38";3501509
"Alvinlândia";"2017";"3126";"1541";"1585";"97,22";"2864";"262";"91,62";3501509
"Alvinlândia";"2018";"3142";"1549";"1593";"97,24";"2885";"257";"91,82";3501509
"Alvinlândia";"2019";"3160";"1558";"1602";"97,25";"2908";"252";"92,03";3501509
"Alvinlândia";"2020";"3176";"1566";"1610";"97,27";"2929";"247";"92,22";3501509
"Americana";"2016";"225183";"110185";"114998";"95,81";"224131";"1052";"99,53";3501608
"Americana";"2017";"227223";"111166";"116057";"95,79";"226162";"1061";"99,53";3501608
"Americana";"2018";"229283";"112157";"117126";"95,76";"228212";"1071";"99,53";3501608
"Americana";"2019";"231361";"113156";"118205";"95,73";"230280";"1081";"99,53";3501608
"Americana";"2020";"233458";"114164";"119294";"95,7";"232367";"1091";"99,53";3501608
"Américo Brasiliense";"2016";"38030";"19045";"18985";"100,32";"37742";"288";"99,24";3501707
"Américo Brasiliense";"2017";"38572";"19305";"19267";"100,2";"38280";"292";"99,24";3501707
"Américo Brasiliense";"2018";"39121";"19568";"19553";"100,08";"38825";"296";"99,24";3501707
"Américo Brasiliense";"2019";"39678";"19835";"19843";"99,96";"39378";"300";"99,24";3501707
"Américo Brasiliense";"2020";"40243";"20106";"20137";"99,85";"39938";"305";"99,24";3501707
"Américo de Campos";"2016";"5732";"2868";"2864";"100,14";"4947";"785";"86,3";3501806
"Américo de Campos";"2017";"5733";"2867";"2866";"100,03";"4968";"765";"86,66";3501806
"Américo de Campos";"2018";"5734";"2867";"2867";"100";"4988";"746";"86,99";3501806
"Américo de Campos";"2019";"5735";"2866";"2869";"99,9";"5007";"728";"87,31";3501806
"Américo de Campos";"2020";"5736";"2865";"2871";"99,79";"5025";"711";"87,6";3501806
"Amparo";"2016";"68260";"33559";"34701";"96,71";"56082";"12178";"82,16";3501905
"Amparo";"2017";"68602";"33715";"34887";"96,64";"56723";"11879";"82,68";3501905
"Amparo";"2018";"68945";"33872";"35073";"96,58";"57360";"11585";"83,2";3501905
"Amparo";"2019";"69291";"34030";"35261";"96,51";"57992";"11299";"83,69";3501905
"Amparo";"2020";"69639";"34189";"35450";"96,44";"58620";"11019";"84,18";3501905
"Analândia";"2016";"4643";"2375";"2268";"104,72";"3815";"828";"82,17";3502002
"Analândia";"2017";"4694";"2400";"2294";"104,62";"3877";"817";"82,59";3502002
"Analândia";"2018";"4746";"2425";"2321";"104,48";"3940";"806";"83,02";3502002
"Analândia";"2019";"4798";"2450";"2348";"104,34";"4003";"795";"83,43";3502002
"Analândia";"2020";"4850";"2475";"2375";"104,21";"4065";"785";"83,81";3502002
"Andradina";"2016";"55831";"27362";"28469";"96,11";"52446";"3385";"93,94";3502101
"Andradina";"2017";"55886";"27382";"28504";"96,06";"52550";"3336";"94,03";3502101
"Andradina";"2018";"55943";"27403";"28540";"96,02";"52654";"3289";"94,12";3502101
"Andradina";"2019";"55998";"27423";"28575";"95,97";"52755";"3243";"94,21";3502101
"Andradina";"2020";"56054";"27443";"28611";"95,92";"52856";"3198";"94,29";3502101
"Angatuba";"2016";"23586";"11879";"11707";"101,47";"17372";"6214";"73,65";3502200
"Angatuba";"2017";"23811";"11983";"11828";"101,31";"17608";"6203";"73,95";3502200
"Angatuba";"2018";"24038";"12088";"11950";"101,15";"17846";"6192";"74,24";3502200
"Angatuba";"2019";"24269";"12195";"12074";"101";"18089";"6180";"74,54";3502200
"Angatuba";"2020";"24501";"12302";"12199";"100,84";"18333";"6168";"74,83";3502200
"Anhembi";"2016";"6269";"3204";"3065";"104,54";"4860";"1409";"77,52";3502309
"Anhembi";"2017";"6367";"3251";"3116";"104,33";"4956";"1411";"77,84";3502309
"Anhembi";"2018";"6467";"3299";"3168";"104,14";"5054";"1413";"78,15";3502309
"Anhembi";"2019";"6568";"3348";"3220";"103,98";"5154";"1414";"78,47";3502309
"Anhembi";"2020";"6672";"3398";"3274";"103,79";"5256";"1416";"78,78";3502309
"Anhumas";"2016";"3877";"1930";"1947";"99,13";"3320";"557";"85,63";3502408
"Anhumas";"2017";"3898";"1940";"1958";"99,08";"3360";"538";"86,2";3502408
"Anhumas";"2018";"3919";"1950";"1969";"99,04";"3399";"520";"86,73";3502408
"Anhumas";"2019";"3942";"1961";"1981";"98,99";"3439";"503";"87,24";3502408
"Anhumas";"2020";"3963";"1971";"1992";"98,95";"3477";"486";"87,74";3502408
"Aparecida";"2016";"35432";"17070";"18362";"92,96";"34917";"515";"98,55";3502507
"Aparecida";"2017";"35501";"17099";"18402";"92,92";"34985";"516";"98,55";3502507
"Aparecida";"2018";"35570";"17128";"18442";"92,87";"35053";"517";"98,55";3502507
"Aparecida";"2019";"35640";"17158";"18482";"92,84";"35122";"518";"98,55";3502507
"Aparecida";"2020";"35709";"17187";"18522";"92,79";"35190";"519";"98,55";3502507
"Aparecida d'Oeste";"2016";"4253";"2066";"2187";"94,47";"3622";"631";"85,16";3502606
"Aparecida d'Oeste";"2017";"4222";"2049";"2173";"94,29";"3615";"607";"85,62";3502606
"Aparecida d'Oeste";"2018";"4192";"2033";"2159";"94,16";"3607";"585";"86,04";3502606
"Aparecida d'Oeste";"2019";"4162";"2017";"2145";"94,03";"3599";"563";"86,47";3502606
"Aparecida d'Oeste";"2020";"4132";"2001";"2131";"93,9";"3589";"543";"86,86";3502606
"Apiaí";"2016";"24695";"12321";"12374";"99,57";"19228";"5467";"77,86";3502705
"Apiaí";"2017";"24688";"12315";"12373";"99,53";"19430";"5258";"78,7";3502705
"Apiaí";"2018";"24681";"12310";"12371";"99,51";"19625";"5056";"79,51";3502705
"Apiaí";"2019";"24674";"12304";"12370";"99,47";"19813";"4861";"80,3";3502705
"Apiaí";"2020";"24666";"12298";"12368";"99,43";"19995";"4671";"81,06";3502705
"Aramina";"2016";"5371";"2685";"2686";"99,96";"5127";"244";"95,46";3503000
"Aramina";"2017";"5402";"2699";"2703";"99,85";"5169";"233";"95,69";3503000
"Aramina";"2018";"5433";"2713";"2720";"99,74";"5211";"222";"95,91";3503000
"Aramina";"2019";"5465";"2727";"2738";"99,6";"5253";"212";"96,12";3503000
"Aramina";"2020";"5496";"2741";"2755";"99,49";"5293";"203";"96,31";3503000
"Arandu";"2016";"6144";"3092";"3052";"101,31";"4908";"1236";"79,88";3503109
"Arandu";"2017";"6149";"3094";"3055";"101,28";"4954";"1195";"80,57";3503109
"Arandu";"2018";"6154";"3095";"3059";"101,18";"4999";"1155";"81,23";3503109
"Arandu";"2019";"6159";"3097";"3062";"101,14";"5043";"1116";"81,88";3503109
"Arandu";"2020";"6165";"3099";"3066";"101,08";"5087";"1078";"82,51";3503109
"Arapeí";"2016";"2471";"1240";"1231";"100,73";"1896";"575";"76,73";3503158
"Arapeí";"2017";"2472";"1239";"1233";"100,49";"1903";"569";"76,98";3503158
"Arapeí";"2018";"2471";"1237";"1234";"100,24";"1908";"563";"77,22";3503158
"Arapeí";"2019";"2472";"1236";"1236";"100";"1914";"558";"77,43";3503158
"Arapeí";"2020";"2471";"1234";"1237";"99,76";"1920";"551";"77,7";3503158
"Araraquara";"2016";"221205";"106715";"114490";"93,21";"214916";"6289";"97,16";3503208
"Araraquara";"2017";"222791";"107482";"115309";"93,21";"216457";"6334";"97,16";3503208
"Araraquara";"2018";"224389";"108255";"116134";"93,22";"218010";"6379";"97,16";3503208
"Araraquara";"2019";"225997";"109032";"116965";"93,22";"219572";"6425";"97,16";3503208
"Araraquara";"2020";"227618";"109815";"117803";"93,22";"221147";"6471";"97,16";3503208
"Araras";"2016";"126338";"62182";"64156";"96,92";"119997";"6341";"94,98";3503307
"Araras";"2017";"127501";"62723";"64778";"96,83";"121175";"6326";"95,04";3503307
"Araras";"2018";"128676";"63269";"65407";"96,73";"122364";"6312";"95,09";3503307
"Araras";"2019";"129861";"63820";"66041";"96,64";"123563";"6298";"95,15";3503307
"Araras";"2020";"131057";"64375";"66682";"96,54";"124772";"6285";"95,2";3503307
"Araçariguama";"2016";"19493";"9884";"9609";"102,86";"19493";"-";"100";3502754
"Araçariguama";"2017";"19855";"10061";"9794";"102,73";"19855";"-";"100";3502754
"Araçariguama";"2018";"20223";"10241";"9982";"102,59";"20223";"-";"100";3502754
"Araçariguama";"2019";"20598";"10424";"10174";"102,46";"20598";"-";"100";3502754
"Araçariguama";"2020";"20980";"10611";"10369";"102,33";"20980";"-";"100";3502754
"Araçatuba";"2016";"187313";"89919";"97394";"92,32";"183700";"3613";"98,07";3502804
"Araçatuba";"2017";"188097";"90277";"97820";"92,29";"184469";"3628";"98,07";3502804
"Araçatuba";"2018";"188884";"90636";"98248";"92,25";"185241";"3643";"98,07";3502804
"Araçatuba";"2019";"189674";"90997";"98677";"92,22";"186016";"3658";"98,07";3502804
"Araçatuba";"2020";"190469";"91360";"99109";"92,18";"186796";"3673";"98,07";3502804
"Araçoiaba da Serra";"2016";"30388";"15069";"15319";"98,37";"20887";"9501";"68,73";3502903
"Araçoiaba da Serra";"2017";"30876";"15299";"15577";"98,22";"21223";"9653";"68,74";3502903
"Araçoiaba da Serra";"2018";"31373";"15533";"15840";"98,06";"21564";"9809";"68,73";3502903
"Araçoiaba da Serra";"2019";"31878";"15771";"16107";"97,91";"21911";"9967";"68,73";3502903
"Araçoiaba da Serra";"2020";"32390";"16012";"16378";"97,77";"22263";"10127";"68,73";3502903
"Arco-Íris";"2016";"1849";"926";"923";"100,33";"1134";"715";"61,33";3503356
"Arco-Íris";"2017";"1841";"921";"920";"100,11";"1143";"698";"62,09";3503356
"Arco-Íris";"2018";"1832";"916";"916";"100";"1150";"682";"62,77";3503356
"Arco-Íris";"2019";"1824";"911";"913";"99,78";"1157";"667";"63,43";3503356
"Arco-Íris";"2020";"1816";"906";"910";"99,56";"1165";"651";"64,15";3503356
